2018-06-20 19:41:08 WARNING (MainThread) [homeassistant.setup] Setup of config is taking over 10 seconds.
2018-06-20 19:41:12 ERROR (SyncWorker_13) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:41:12 ERROR (SyncWorker_3) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:41:14 ERROR (SyncWorker_18) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:41:16 ERROR (SyncWorker_5) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:41:18 ERROR (SyncWorker_4) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:41:18 ERROR (SyncWorker_12) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:41:20 ERROR (SyncWorker_13) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:41:21 ERROR (SyncWorker_3) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:41:21 WARNING (SyncWorker_6) [netdisco.ssdp] Error fetching description at 192.168.1.128
2018-06-20 19:41:23 ERROR (SyncWorker_7) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:41:24 ERROR (SyncWorker_0) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:41:25 ERROR (SyncWorker_5) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:41:26 ERROR (SyncWorker_4) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:41:28 ERROR (SyncWorker_12) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:41:30 ERROR (SyncWorker_14) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
